,stationid
# Example of a contrails river list
0,30033
1,WNRN7
2,30003
3,30050
4,30009
5,GTNN7
6,30032
7,30011
8,30016
9,WSNN7
10,HSWN7
11,30010
12,30031
13,30060
14,30062
15,WHSN7
16,30061
17,30017
18,STYN7
19,STON7
20,RMBN7
21,TRTN7
22,30007
23,30006
